Symbol,Company Name,Index Weight
AMCR,AMCOR PLC,0.031258
IFF,INTL FLAVORS + FRAGRANCES,0.030914
SBAC,SBA COMMUNICATIONS CORP,0.030828
GIS,GENERAL MILLS INC,0.030405
L,LOEWS CORP,0.030236
VTRS,VIATRIS INC,0.030057
ESS,ESSEX PROPERTY TRUST INC,0.030017
CTSH,COGNIZANT TECH SOLUTIONS A,0.030014
INCY,INCYTE CORP,0.029992
EFX,EQUIFAX INC,0.029856
FTV,FORTIVE CORP,0.029657
BRO,BROWN + BROWN INC,0.029618
DD,DUPONT DE NEMOURS INC,0.029334
NVR,NVR INC,0.02907
WY,WEYERHAEUSER CO,0.028657
ZBH,ZIMMER BIOMET HOLDINGS INC,0.028496
LII,LENNOX INTERNATIONAL INC,0.028231
KIM,KIMCO REALTY CORP,0.027626
SMCI,SUPER MICRO COMPUTER INC,0.027272
CDW,CDW CORP/DE,0.026943
IEX,IDEX CORP,0.026606
FDXF,FEDEX FREIGHT HOLDING CO,0.026389
INVH,INVITATION HOMES INC,0.02634
TSN,TYSON FOODS INC CL A,0.026135
AKAM,AKAMAI TECHNOLOGIES INC,0.026057
BALL,BALL CORP,0.026027
MAA,MID AMERICA APARTMENT COMM,0.025905
TSCO,TRACTOR SUPPLY COMPANY,0.025898
GNRC,GENERAC HOLDINGS INC,0.02571
CF,CF INDUSTRIES HOLDINGS INC,0.025692
GPN,GLOBAL PAYMENTS INC,0.02568
MAS,MASCO CORP,0.025609
NDSN,NORDSON CORP,0.025286
GPC,GENUINE PARTS CO,0.025266
HST,HOST HOTELS + RESORTS INC,0.025254
BR,BROADRIDGE FINANCIAL SOLUTIO,0.025239
RL,RALPH LAUREN CORP,0.025208
TXT,TEXTRON INC,0.025043
ALB,ALBEMARLE CORP,0.024913
BBY,BEST BUY CO INC,0.024176
BG,BUNGE GLOBAL SA,0.023827
DOC,HEALTHPEAK PROPERTIES INC,0.023598
J,JACOBS SOLUTIONS INC,0.023476
DECK,DECKERS OUTDOOR CORP,0.023399
LYB,LYONDELLBASELL INDU CL A,0.022852
SWK,STANLEY BLACK + DECKER INC,0.022622
EG,EVEREST GROUP LTD,0.022262
LVS,LAS VEGAS SANDS CORP,0.02223
GL,GLOBE LIFE INC,0.022029
COO,COOPER COS INC/THE,0.021919
TKO,TKO GROUP HOLDINGS INC,0.021498
REG,REGENCY CENTERS CORP,0.02133
GEN,GEN DIGITAL INC,0.021204
PTC,PTC INC,0.021149
ECHO,ECHOSTAR CORP A,0.020799
AIZ,ASSURANT INC,0.020739
PNW,PINNACLE WEST CAPITAL,0.020735
MKC,MCCORMICK + CO NON VTG SHRS,0.020577
LDOS,LEIDOS HOLDINGS INC,0.020253
APTV,APTIV PLC,0.020222
ROL,ROLLINS INC,0.020108
AVY,AVERY DENNISON CORP,0.020055
RVTY,REVVITY INC,0.019953
TYL,TYLER TECHNOLOGIES INC,0.019628
CSGP,COSTAR GROUP INC,0.019546
PNR,PENTAIR PLC,0.019542
SJM,JM SMUCKER CO/THE,0.019516
LULU,LULULEMON ATHLETICA INC,0.019482
ZBRA,ZEBRA TECHNOLOGIES CORP CL A,0.018967
ALLE,ALLEGION PLC,0.018782
CLX,CLOROX COMPANY,0.018761
UDR,UDR INC,0.018702
TRMB,TRIMBLE INC,0.018699
ALGN,ALIGN TECHNOLOGY INC,0.018604
SOLV,SOLVENTUM CORP,0.01852
CPT,CAMDEN PROPERTY TRUST,0.018495
APA,APA CORP,0.018462
IVZ,INVESCO LTD,0.018388
BAX,BAXTER INTERNATIONAL INC,0.018093
HAS,HASBRO INC,0.018009
GDDY,GODADDY INC   CLASS A,0.017715
CHTR,CHARTER COMMUNICATIONS INC A,0.017677
TECH,BIO TECHNE CORP,0.017618
HII,HUNTINGTON INGALLS INDUSTRIE,0.017499
PODD,INSULET CORP,0.017341
AES,AES CORP,0.016552
CRL,CHARLES RIVER LABORATORIES,0.016443
SWKS,SKYWORKS SOLUTIONS INC,0.01618
BEN,FRANKLIN RESOURCES INC,0.015951
FOXA,FOX CORP   CLASS A,0.015813
BXP,BXP INC,0.015761
FRT,FEDERAL REALTY INVS TRUST,0.015611
NCLH,NORWEGIAN CRUISE LINE HOLDIN,0.015535
JKHY,JACK HENRY + ASSOCIATES INC,0.015173
BLDR,BUILDERS FIRSTSOURCE INC,0.015167
MGM,MGM RESORTS INTERNATIONAL,0.014762
NWSA,NEWS CORP   CLASS A,0.014669
DPZ,DOMINO S PIZZA INC,0.014445
IT,GARTNER INC,0.014299
ARE,ALEXANDRIA REAL ESTATE EQUIT,0.013653
FDS,FACTSET RESEARCH SYSTEMS INC,0.013355
WYNN,WYNN RESORTS LTD,0.013323
HSIC,HENRY SCHEIN INC,0.013013
TTD,TRADE DESK INC/THE  CLASS A,0.01241
UHS,UNIVERSAL HEALTH SERVICES B,0.012286
HRL,HORMEL FOODS CORP,0.012233
MOS,MOSAIC CO/THE,0.011336
DVA,DAVITA INC,0.011031
AOS,SMITH (A.O.) CORP,0.01093
CAG,CONAGRA BRANDS INC,0.010655
TAP,MOLSON COORS BEVERAGE CO   B,0.010529
FOX,FOX CORP   CLASS B,0.010162
ERIE,ERIE INDEMNITY COMPANY CL A,0.00959
BF.B,BROWN FORMAN CORP CLASS B,0.007449
NWS,NEWS CORP   CLASS B,0.005544
PSKY,PARAMOUNT SKYDANCE CL B,0.004793
2602335D,CONTRA HOLOGIC INCORPO,0.000003
